timestamp,mfrid,prodid,sensorid,flags,switch,voltage,freq,reactive,real,apparent,current,temperature
1592437949.2956996,4,1,1507,01111000,None,236,49.8515625,-6,2,None,None,None
1592437952.7056103,4,1,4424,01111000,None,236,49.8984375,-64,65,None,None,None
1592437959.32267,4,1,1507,01111000,None,236,49.8515625,-6,2,None,None,None
1592437962.6322656,4,1,4424,01111000,None,236,49.8515625,-64,65,None,None,None
1592437969.2493644,4,1,1507,01111000,None,236,49.8515625,-6,2,None,None,None
1592437972.6590326,4,1,4424,01111000,None,236,49.8984375,-64,65,None,None,None
1592437979.275993,4,1,1507,01111000,None,236,49.8515625,-6,2,None,None,None
1592437982.5855389,4,1,4424,01111000,None,236,49.8515625,-64,65,None,None,None
1592437989.2027524,4,1,1507,01111000,None,236,49.8515625,-6,2,None,None,None
1592437992.6125908,4,1,4424,01111000,None,236,49.8984375,-64,65,None,None,None
1592437999.1294997,4,1,1507,01111000,None,236,49.8515625,-6,2,None,None,None
1592438002.539238,4,1,4424,01111000,None,236,49.8515625,-64,65,None,None,None
1592438009.1561902,4,1,1507,01111000,None,236,49.8515625,-6,2,None,None,None
1592438012.4656637,4,1,4424,01111000,None,236,49.8984375,-64,65,None,None,None
1592438019.0826516,4,1,1507,01111000,None,236,49.80078125,-6,2,None,None,None
1592438022.4922743,4,1,4424,01111000,None,236,49.8515625,-65,68,None,None,None
1592438029.1091504,4,1,1507,01111000,None,236,49.8515625,-6,2,None,None,None
1592438032.4187198,4,1,4424,01111000,None,236,49.8515625,-65,66,None,None,None
1592438039.035669,4,1,1507,01111000,None,236,49.8515625,-6,2,None,None,None
1592438042.4452946,4,1,4424,01111000,None,236,49.8984375,-64,66,None,None,None
1592438048.962711,4,1,1507,01111000,None,236,49.8515625,-6,2,None,None,None
1592438052.3725264,4,1,4424,01111000,None,236,49.8984375,-65,65,None,None,None
1592438058.9894023,4,1,1507,01111000,None,236,49.8515625,-6,2,None,None,None
1592438062.3991616,4,1,4424,01111000,None,236,49.8515625,-65,66,None,None,None
1592438068.915993,4,1,1507,01111000,None,236,49.8515625,-6,2,None,None,None
1592438072.325652,4,1,4424,01111000,None,236,49.8984375,-64,66,None,None,None
1592438078.9427037,4,1,1507,01111000,None,236,49.8515625,-6,2,None,None,None
1592438082.352419,4,1,4424,01111000,None,236,49.8515625,-64,65,None,None,None
1592438088.869176,4,1,1507,01111000,None,236,49.8515625,-6,2,None,None,None
1592438092.2789927,4,1,4424,01111000,None,236,49.8515625,-65,66,None,None,None
1592438098.7957366,4,1,1507,01111000,None,236,49.80078125,-6,2,None,None,None
1592438102.3056593,4,1,4424,01111000,None,236,49.8984375,-65,66,None,None,None
1592438108.8225505,4,1,1507,01111000,None,236,49.8515625,-6,2,None,None,None
1592438112.2322164,4,1,4424,01111000,None,236,49.8515625,-64,65,None,None,None
1592438118.7488372,4,1,1507,01111000,None,236,49.8515625,-6,2,None,None,None
1592438122.258707,4,1,4424,01111000,None,236,49.8984375,-65,66,None,None,None
1592438128.7755525,4,1,1507,01111000,None,236,49.8515625,-6,2,None,None,None
1592438132.1850975,4,1,4424,01111000,None,236,49.8515625,-65,66,None,None,None
1592438138.7022247,4,1,1507,01111000,None,236,49.8515625,-6,2,None,None,None
1592438142.1118095,4,1,4424,01111000,None,236,49.8984375,-64,66,None,None,None
1592438148.6286042,4,1,1507,01111000,None,236,49.8515625,-6,2,None,None,None
1592438152.1385143,4,1,4424,01111000,None,236,49.8515625,-65,65,None,None,None
1592438158.6551313,4,1,1507,01111000,None,236,49.8515625,-6,2,None,None,None
1592438162.0647645,4,1,4424,01111000,None,236,49.8984375,-65,65,None,None,None
1592438168.5814579,4,1,1507,01111000,None,236,49.8515625,-6,2,None,None,None
1592438172.0913177,4,1,4424,01111000,None,236,49.8515625,-65,66,None,None,None
1592438178.6079066,4,1,1507,01111000,None,236,49.80078125,-6,2,None,None,None
1592438182.0177016,4,1,4424,01111000,None,236,49.8984375,-64,66,None,None,None
1592438188.534526,4,1,1507,01111000,None,236,49.8515625,-6,2,None,None,None
1592438192.0444279,4,1,4424,01111000,None,236,49.8515625,-65,68,None,None,None
1592438198.4610183,4,1,1507,01111000,None,236,49.8515625,-6,3,None,None,None
1592438201.971,4,1,4424,01111000,None,236,49.8515625,-65,68,None,None,None
1592438208.4877615,4,1,1507,01111000,None,236,49.8515625,-6,6,None,None,None
1592438211.997765,4,1,4424,01111000,None,236,49.8984375,-65,66,None,None,None
1592438218.4144156,4,1,1507,01111000,None,236,49.8515625,-6,7,None,None,None
1592438221.9243164,4,1,4424,01111000,None,236,49.8515625,-64,66,None,None,None
1592438228.4410257,4,1,1507,01111000,None,236,49.8515625,-6,8,None,None,None
1592438231.9508202,4,1,4424,01111000,None,236,49.8515625,-64,66,None,None,None
1592438238.3672812,4,1,1507,01111000,None,236,49.8515625,-6,7,None,None,None
1592438241.8772595,4,1,4424,01111000,None,236,49.8984375,-65,66,None,None,None
1592438248.2938066,4,1,1507,01111000,None,236,49.80078125,-6,2,None,None,None
1592438251.803843,4,1,4424,01111000,None,236,49.8515625,-65,66,None,None,None
1592438258.3204346,4,1,1507,01111000,None,236,49.8515625,-6,2,None,None,None
1592438261.8302794,4,1,4424,01111000,None,236,49.8515625,-65,66,None,None,None
1592438268.24679,4,1,1507,01111000,None,236,49.8515625,-6,2,None,None,None
1592438271.7565932,4,1,4424,01111000,None,236,49.8515625,-64,66,None,None,None
1592438278.2733114,4,1,1507,01111000,None,236,49.8515625,-6,2,None,None,None
1592438281.7832477,4,1,4424,01111000,None,236,49.8515625,-65,66,None,None,None
1592438288.1997128,4,1,1507,01111000,None,236,49.80078125,-6,2,None,None,None
1592438291.7095864,4,1,4424,01111000,None,236,49.8984375,-64,66,None,None,None
1592438298.126058,4,1,1507,01111000,None,236,49.8515625,-6,2,None,None,None
1592438301.736203,4,1,4424,01111000,None,236,49.8515625,-65,68,None,None,None
1592438308.152694,4,1,1507,01111000,None,236,49.8515625,-6,2,None,None,None
1592438311.6627064,4,1,4424,01111000,None,236,49.8515625,-65,66,None,None,None
1592438318.0792606,4,1,1507,01111000,None,236,49.80078125,-6,2,None,None,None
1592438321.5892427,4,1,4424,01111000,None,236,49.8515625,-65,66,None,None,None
1592438328.0060441,4,1,1507,01111000,None,236,49.8515625,-6,2,None,None,None
1592438331.6161335,4,1,4424,01111000,None,236,49.8984375,-65,68,None,None,None
1592438338.0325968,4,1,1507,01111000,None,236,49.8515625,-6,6,None,None,None
1592438341.5428615,4,1,4424,01111000,None,236,49.8515625,-65,66,None,None,None
1592438347.959317,4,1,1507,01111000,None,236,49.8515625,-6,7,None,None,None
1592438351.5693836,4,1,4424,01111000,None,236,49.8515625,-65,67,None,None,None
1592438357.985713,4,1,1507,01111000,None,236,49.8515625,-6,6,None,None,None
1592438361.4956686,4,1,4424,01111000,None,236,49.8515625,-65,67,None,None,None
1592438367.9123032,4,1,1507,01111000,None,236,49.80078125,-6,6,None,None,None
1592438371.5224745,4,1,4424,01111000,None,236,49.8515625,-65,67,None,None,None
1592438377.8387117,4,1,1507,01111000,None,236,49.8515625,-6,6,None,None,None
1592438381.4488282,4,1,4424,01111000,None,236,49.8515625,-64,67,None,None,None
1592438387.8652937,4,1,1507,01111000,None,236,49.8515625,-6,7,None,None,None
1592438391.3752606,4,1,4424,01111000,None,235,49.8515625,-65,66,None,None,None
1592438397.7918136,4,1,1507,01111000,None,236,49.8515625,-6,6,None,None,None
1592438401.401868,4,1,4424,01111000,None,235,49.8515625,-64,67,None,None,None
1592438407.818438,4,1,1507,01111000,None,236,49.80078125,-6,6,None,None,None
1592438411.3282244,4,1,4424,01111000,None,235,49.8515625,-66,95,None,None,None
1592438417.7446315,4,1,1507,01111000,None,236,49.8515625,-6,6,None,None,None
1592438421.355201,4,1,4424,01111000,None,235,49.8515625,-65,74,None,None,None
1592438427.6719103,4,1,1507,01111000,None,236,49.8515625,-6,6,None,None,None
1592438431.2820692,4,1,4424,01111000,None,235,49.8515625,-65,73,None,None,None
1592438437.698684,4,1,1507,01111000,None,236,49.8515625,-6,6,None,None,None
1592438441.3088694,4,1,4424,01111000,None,235,49.8984375,-65,73,None,None,None
1592438447.6254387,4,1,1507,01111000,None,236,49.8515625,-6,6,None,None,None
1592438451.235719,4,1,4424,01111000,None,235,49.8515625,-65,73,None,None,None
1592438457.6523693,4,1,1507,01111000,None,236,49.80078125,-6,7,None,None,None
1592438461.2625105,4,1,4424,01111000,None,236,49.8515625,-65,73,None,None,None
1592438467.5787187,4,1,1507,01111000,None,236,49.8515625,-6,6,None,None,None
1592438471.1889157,4,1,4424,01111000,None,236,49.8515625,-65,73,None,None,None
1592438477.505254,4,1,1507,01111000,None,236,49.8515625,-6,6,None,None,None
1592438481.115488,4,1,4424,01111000,None,236,49.8515625,-65,73,None,None,None
1592438487.53214,4,1,1507,01111000,None,236,49.80078125,-6,6,None,None,None
1592438491.1421986,4,1,4424,01111000,None,236,49.8515625,-65,73,None,None,None
1592438497.45847,4,1,1507,01111000,None,236,49.8515625,-6,7,None,None,None
1592438501.068584,4,1,4424,01111000,None,236,49.8515625,-65,73,None,None,None
1592438507.4850233,4,1,1507,01111000,None,236,49.8515625,-6,7,None,None,None
1592438511.0955546,4,1,4424,01111000,None,236,49.8515625,-65,73,None,None,None
1592438517.4119513,4,1,1507,01111000,None,236,49.80078125,-6,7,None,None,None
1592438521.0221355,4,1,4424,01111000,None,236,49.8515625,-65,73,None,None,None
1592438527.3382897,4,1,1507,01111000,None,236,49.8515625,-6,6,None,None,None
1592438531.0485559,4,1,4424,01111000,None,236,49.8515625,-65,73,None,None,None
1592438537.3646705,4,1,1507,01111000,None,236,49.8515625,-6,6,None,None,None
1592438540.975148,4,1,4424,01111000,None,235,49.8515625,-65,73,None,None,None
1592438547.2913961,4,1,1507,01111000,None,236,49.80078125,-6,6,None,None,None
1592438550.901516,4,1,4424,01111000,None,235,49.8515625,-65,73,None,None,None
1592438557.3180165,4,1,1507,01111000,None,236,49.8515625,-6,6,None,None,None
1592438560.9281874,4,1,4424,01111000,None,235,49.8984375,-65,73,None,None,None
1592438567.2446215,4,1,1507,01111000,None,236,49.8515625,-6,6,None,None,None
1592438570.8547122,4,1,4424,01111000,None,235,49.8515625,-65,73,None,None,None
1592438577.170752,4,1,1507,01111000,None,236,49.80078125,-6,6,None,None,None
1592438580.8811321,4,1,4424,01111000,None,235,49.8515625,-65,73,None,None,None
1592438587.1973748,4,1,1507,01111000,None,236,49.80078125,-6,6,None,None,None
1592438590.8071375,4,1,4424,01111000,None,235,49.8515625,-65,73,None,None,None
1592438597.1228971,4,1,1507,01111000,None,236,49.8515625,-6,6,None,None,None
1592438600.833317,4,1,4424,01111000,None,235,49.80078125,-65,73,None,None,None
1592438607.1496043,4,1,1507,01111000,None,236,49.80078125,-6,6,None,None,None
1592438610.7596834,4,1,4424,01111000,None,236,49.8515625,-65,73,None,None,None
1592438617.0784104,4,1,1507,01111000,None,236,49.8515625,-6,6,None,None,None
1592438620.7886899,4,1,4424,01111000,None,236,49.8515625,-65,73,None,None,None
1592438627.0047312,4,1,1507,01111000,None,236,49.80078125,-6,7,None,None,None
1592438630.7150807,4,1,4424,01111000,None,236,49.8515625,-65,73,None,None,None
1592438637.031312,4,1,1507,01111000,None,236,49.8515625,-6,6,None,None,None
1592438640.7415354,4,1,4424,01111000,None,236,49.8515625,-65,73,None,None,None
1592438646.9575233,4,1,1507,01111000,None,236,49.80078125,-6,6,None,None,None
1592438650.6677608,4,1,4424,01111000,None,236,49.8515625,-65,72,None,None,None
1592438656.983872,4,1,1507,01111000,None,236,49.8515625,-6,6,None,None,None
